#,Component,Specification / Product,Qty.,Price (NPR),Price (USD),Buy Link
1,RC Transmitter + Receiver,FlySky FS-i6 TX + RX,1 set,9000,60.0,https://www.daraz.com.np/products/flysky-fs-i6-remote-for-quadcopter-6-channels-for-multiple-control-option-i488181181.html
2,LiPo Battery,2200mAh 3S 11.1V LiPo,1,3500,23.16,https://www.daraz.com.np/products/2200mah-111v-35c-3s-zop-power-lipo-battery-i130076598.html?spm=a2a0e.store_keyword.list.21.ae781939ZRWD4P
3,Brushless Motor,1000KV A2212 Brushless Motor,1,900,6.0,https://www.daraz.com.np/tag/a2212/
4,Brushless ESC,30A Brushless ESC,1,999,6.66,https://www.daraz.com.np/products/30a-brushless-esc-for-rc-fixed-wing-plane-helicopter-2-3s-i292619586.html
5,Servo Motor,Metal Gear MG90S Servo,1,415,2.77,https://www.daraz.com.np/tag/servo-mg/
6,3D Printing,"PLA filament — 158.75 g, approx. 17h 18m print",1,476,3.17,

,TOTAL COMPONENTS,,,14200,,
,3D PRINTING,,,476,,
,TOTAL,,,14670,97.09,
